1,4.9083,20300,1.43e+05,17800,1.3787e+05
2,5.076,22000,85260,17510,1.4495e+05
3,5.542,32500,4.94e+05,30500,90852
4,5.822,22300,5.8e+05,21500,1.354e+05
5,5.913,54200,6.1e+05,49700,59487
6,6.0052,31100,6.59e+05,29800,1.0076e+05
