KIDID,T0,F0,Fdesign,Q,Qi,Qc,Qdesign,Pread [dBm],Pint [dBm],ddx/dNqp,dR/dNqp,Tc [K],Delta [J],Film Thickness [um],Active Area [um^2]
1.000000000000e+00,1.000350000000e-01,4.908340247924e+09,4.908300000000e+00,1.717890003247e+04,1.386552405660e+05,1.960829990597e+04,1.840000000000e+04,-9.200000000000e+01,-5.218569112903e+01,-6.147185290643e-10,1.071378559937e-05,1.182000000000e+00,2.872097281152e-23,3.300000000000e-02,2.000000000000e+03
2.000000000000e+00,1.006940000000e-01,5.076128872724e+09,5.076100000000e+00,1.730372343699e+04,8.540171178189e+04,2.170060581282e+04,1.680000000000e+04,-9.000000000000e+01,-5.056312604751e+01,-5.908477156055e-10,1.078455990214e-05,1.182000000000e+00,2.872097281152e-23,3.300000000000e-02,2.000000000000e+03
3.000000000000e+00,1.014340000000e-01,5.542419662825e+09,5.542400000000e+00,3.035114607129e+04,4.979597311156e+05,3.232115281903e+04,3.370000000000e+04,-9.400000000000e+01,-5.141256529961e+01,-6.217236150693e-10,1.886762788829e-05,1.182000000000e+00,2.872097281152e-23,3.300000000000e-02,2.000000000000e+03
4.000000000000e+00,1.022190000000e-01,5.822190610046e+09,5.822100000000e+00,2.292295924129e+04,5.541964547658e+05,2.391202055303e+04,1.780000000000e+04,-8.800000000000e+01,-4.654194787957e+01,-2.816350443933e-10,7.860418070741e-06,1.182000000000e+00,2.872097281152e-23,3.300000000000e-02,2.000000000000e+03
5.000000000000e+00,1.028510000000e-01,5.913425375937e+09,5.913400000000e+00,4.780986085263e+04,5.508959261131e+05,5.235338322900e+04,5.010000000000e+04,-9.200000000000e+01,-4.756029669908e+01,-3.114204823490e-10,2.011607253574e-05,1.182000000000e+00,2.872097281152e-23,3.300000000000e-02,2.000000000000e+03
6.000000000000e+00,1.035100000000e-01,6.005193289225e+09,6.005100000000e+00,2.922696462946e+04,6.814479604781e+05,3.053666711817e+04,2.360000000000e+04,-8.800000000000e+01,-4.549374083904e+01,-2.853571797408e-10,1.020788828391e-05,1.182000000000e+00,2.872097281152e-23,3.300000000000e-02,2.000000000000e+03
